SystemID ,n_code,b_code,name,mc_url,sector,Trade ,Price
2394, ULTRACEMCO ,532538,UltraTech Cement Ltd.,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ultratechcement/UTC01, CEMENT - MAJOR ,Both Trading,4301.35
2395, NIITTECH ,532541,NIIT Technologies Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/niittechnologies/NII02, COMPUTERS - SOFTWARE ,Both Trading,1266.9
2396, GULFPETRO ,532543,GP Petroleums Ltd.,http://www.moneycontrol.com/india/stockpricequote/lubricants/gppetroleums/SP36, LUBRICANTS ,Both Trading,91.65
2397, NDTV ,532529,New Delhi Television Ltd.,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/newdelhitelevision/NDT01, MEDIA & ENTERTAINMENT ,Both Trading,35.15
2398, CENTURYPLY ,532548,Century Plyboards Ltd.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9, MISCELLANEOUS ,Both Trading,241.15
2399, NTPC ,532555,NTPC Ltd.,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/ntpc/NTP, POWER - GENERATION & DISTRIBUTION ,Both Trading,160.4
2400, SALSTEEL ,532604,SAL Steel Ltd.,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/salsteel/SAL03, STEEL - MEDIUM & SMALL ,Both Trading,7.21
2401, JBMA ,532605,JBM Auto Ltd.,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/jbmauto/JBM03, AUTO ANCILLARIES ,Both Trading,366
2402, BHARATIDIL ,532609,Bharati Defence and Infrastructure Ltd.,http://www.moneycontrol.com/india/stockpricequote/shipping/bharatidefenceinfrastructure/BS13, SHIPPING ,Both Trading,3.37
2403, DWARKESH ,532610,Dwarikesh Sugar Industries Ltd.,http://www.moneycontrol.com/india/stockpricequote/sugar/dwarikeshsugarindustries/DSI01, SUGAR ,Both Trading,19.45
2404, WELENT ,532553,Welspun Enterprises Ltd.,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/welspunenterprises/MSK, CONSTRUCTION & CONTRACTING - CIVIL ,Both Trading,158.75
2405, IMPEXFERRO ,532614,Impex Ferro Tech Ltd.,http://www.moneycontrol.com/india/stockpricequote/miningminerals/impexferrotech/IFT, MINING & MINERALS ,Both Trading,0.74
2406, JETAIRWAYS ,532617,Jet Airways Ltd.,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/jetairways/JA01, TRANSPORT & LOGISTICS ,Both Trading,301.7
2407, INDOCO ,532612,Indoco Remedies Ltd.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indocoremedies/IR05, PHARMACEUTICALS ,Both Trading,196.2
2408, VIPCLOTHNG ,532613,VIP Clothing Ltd.,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/vipclothing/MI53, TEXTILES - READYMADE APPARELS ,Both Trading,55.5
2409, MORARJEE ,532621,Morarjee Textiles Ltd.,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/morarjeetextiles/MT12, TEXTILES - SPINNING - COTTON BLENDED ,Both Trading,29.05
2410, XCHANGING ,532616,Xchanging Solutions Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/xchangingsolutions/CS20, COMPUTERS - SOFTWARE MEDIUM & SMALL ,Both Trading,55.6
2411,  ,532623,NR International Ltd.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/nrinternational/NRI, MISCELLANEOUS ,Bse Trading,5.47
2412, JINDALPHOT ,532624,Jindal Photo Ltd.,http://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/jindalphoto/JP11, CONSUMER GOODS - ELECTRONIC ,Both Trading,38.6
2413, JPPOWER ,532627,Jaiprakash Power Ventures Ltd.,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/jaiprakashpowerventures/JHP01, POWER - GENERATION & DISTRIBUTION ,Both Trading,3.13
2414, PONDYOXIDE ,532626,Pondy Oxides & Chemicals Ltd.,http://www.moneycontrol.com/india/stockpricequote/chemicals/pondyoxideschemicals/PO03, CHEMICALS ,Bse Trading,369.05
2415, 3IINFOTECH ,532628,3i Infotech Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/3iinfotech/I11, COMPUTERS - SOFTWARE ,Both Trading,3.7
2416, GOKEX ,532630,Gokaldas Exports Ltd.,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/gokaldasexports/GE05, TEXTILES - READYMADE APPARELS ,Both Trading,86.7
2417, GDL ,532622,Gateway Distriparks Ltd.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01, MISCELLANEOUS ,Both Trading,181.3
2418, MBECL ,532629,Mcnally Bharat Engineering Ltd.,http://www.moneycontrol.com/india/stockpricequote/engineering/mcnallybharatengineering/MBE, ENGINEERING ,Both Trading,37.75
2419, SHOPERSTOP ,532638,Shoppers Stop Ltd.,http://www.moneycontrol.com/india/stockpricequote/retail/shoppersstop/SS51, RETAIL ,Both Trading,552.5
2420, ALLSEC ,532633,ALLSEC Technologies Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/allsectechnologies/ALL01, COMPUTERS - SOFTWARE MEDIUM & SMALL ,Both Trading,264
2421, CYBERMEDIA ,532640,Cyber Media (India) Ltd.,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/cybermediaindia/CMI01, MEDIA & ENTERTAINMENT ,Both Trading,7.75
2422, NDL ,532641,Nandan Denim Ltd.,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/nandandenim/NE06, TEXTILES - DENIM ,Both Trading,79.15
2423, JSWHL ,532642,JSW Holdings Ltd.,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/jswholdings/JSW, FINANCE - INVESTMENTS ,Both Trading,1970
2424, SGFL ,532643,Shree Ganesh Forgings Ltd.,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/shreeganeshforgings/SGF02, CASTINGS & FORGINGS ,Both Trading,0.94
2425, JKCEMENT ,532644,J. K. Cement Ltd.,http://www.moneycontrol.com/india/stockpricequote/cementmajor/jkcement/JKC03, CEMENT - MAJOR ,Both Trading,777
2426,  ,532645,Beeyu Overseas Ltd.,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/beeyuoverseas/BO01, FOOD PROCESSING ,Bse Trading,0.39
2427, MANGALAM ,532637,Mangalam Drugs & Organics Ltd.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/mangalamdrugsorganics/MDO, PHARMACEUTICALS ,Both Trading,107.4
2428, IIFL ,532636,IIFL Holdings Ltd.,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflholdings/II15, FINANCE - GENERAL ,Both Trading,721.05
2429, UNIPLY ,532646,Uniply Industries Ltd.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/uniplyindustries/UI16, MISCELLANEOUS ,Both Trading,71.3
2430, NECLIFE ,532649,Nectar Lifesciences Ltd.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nectarlifesciences/NL01, PHARMACEUTICALS ,Both Trading,23.6
2431, MSPL ,532650,MSP Steel & Power Ltd.,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/mspsteelpower/MSP, STEEL - SPONGE IRON ,Both Trading,14.7
2432, YESBANK ,532648,Yes Bank Ltd.,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/yesbank/YB, BANKS - PRIVATE SECTOR ,Both Trading,381.25
2433, SPLIL ,532651,SPL Industries Ltd.,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/splindustries/SPL9, TEXTILES - READYMADE APPARELS ,Both Trading,25.6
2434, KTKBANK ,532652,Karnataka Bank Ltd.,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04, BANKS - PRIVATE SECTOR ,Both Trading,123.5
2435, MCLEODRUSS ,532654,Mcleod Russel (India) Ltd.,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/mcleodrusselindia/MRI02, PLANTATIONS - TEA & COFFEE ,Both Trading,130.3
2436, PROVOGE ,532647,Provogue (India) Ltd.,http://www.moneycontrol.com/india/stockpricequote/retail/provogueindia/PI31, RETAIL ,Both Trading,3.8
2437,  ,532656,Facor Alloys Ltd.,http://www.moneycontrol.com/india/stockpricequote/miningminerals/facoralloys/FA, MINING & MINERALS ,Bse Trading,2.51
2438, IDFC ,532659,IDFC Ltd.,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/idfc/IDF, FINANCE - TERM LENDING INSTITUTIONS ,Both Trading,49.4
